product_id,part_id,quantity_required
PROD001,PART001,1
PROD001,PART003,11
PROD001,PART004,8
PROD001,PART005,1
PROD001,PART006,1
PROD001,PART009,1
PROD002,PART002,1
PROD002,PART003,17
PROD002,PART004,19
PROD002,PART008,1
PROD002,PART014,1
PROD002,PART015,1
PROD003,PART001,1
PROD003,PART003,15
PROD003,PART008,1
PROD003,PART009,1
PROD003,PART014,1
PROD004,PART002,1
PROD004,PART003,12
PROD004,PART004,17
PROD004,PART005,1
PROD004,PART007,1
PROD004,PART015,1
PROD005,PART002,1
PROD005,PART003,9
PROD005,PART004,11
PROD005,PART008,1
PROD005,PART010,1
PROD005,PART011,1
PROD005,PART012,1
PROD005,PART015,1
