po_id,supplier_id,part_id,plant_id,quantity,order_date,expected_delivery_date,actual_delivery_date
PO00001,SUP010,PART005,PLANT003,1000,2026-03-29,2026-04-16,2026-04-13
PO00002,SUP006,PART001,PLANT002,5000,2026-02-07,2026-02-22,2026-02-21
PO00003,SUP001,PART005,PLANT002,10000,2026-03-30,2026-04-13,2026-04-09
PO00004,SUP003,PART013,PLANT003,5000,2026-03-05,2026-03-27,2026-03-24
PO00005,SUP007,PART008,PLANT001,500,2026-05-12,2026-06-03,
PO00006,SUP002,PART004,PLANT001,500,2026-02-22,2026-03-09,2026-03-07
PO00007,SUP007,PART008,PLANT004,1000,2026-03-22,2026-04-08,2026-04-06
PO00008,SUP002,PART013,PLANT002,500,2026-01-04,2026-01-23,2026-01-19
PO00009,SUP010,PART010,PLANT002,500,2026-01-14,2026-02-11,
PO00010,SUP008,PART008,PLANT003,5000,2026-02-09,2026-02-27,2026-02-23
PO00011,SUP005,PART012,PLANT002,100,2026-05-04,2026-05-30,2026-05-29
PO00012,SUP001,PART001,PLANT003,100,2026-03-29,2026-04-12,2026-04-09
PO00013,SUP003,PART001,PLANT004,1000,2026-02-02,2026-02-26,2026-02-22
PO00014,SUP009,PART015,PLANT003,100,2026-03-13,2026-04-07,2026-04-07
PO00015,SUP008,PART001,PLANT003,5000,2026-04-14,2026-05-03,2026-05-04
PO00016,SUP003,PART001,PLANT003,1000,2026-01-01,2026-01-19,2026-01-19
PO00017,SUP007,PART013,PLANT001,500,2026-02-11,2026-03-08,2026-03-03
PO00018,SUP004,PART002,PLANT004,5000,2026-05-23,2026-06-16,2026-06-15
PO00019,SUP007,PART013,PLANT003,5000,2026-03-07,2026-03-30,2026-04-08
PO00020,SUP005,PART012,PLANT004,5000,2026-04-18,2026-05-13,2026-05-13
PO00021,SUP010,PART005,PLANT004,100,2026-05-09,2026-05-31,2026-05-26
PO00022,SUP004,PART002,PLANT001,1000,2026-04-13,2026-05-02,2026-04-27
PO00023,SUP005,PART011,PLANT003,500,2026-02-28,2026-03-19,2026-03-14
PO00024,SUP004,PART002,PLANT002,100,2026-02-21,2026-03-18,2026-03-14
PO00025,SUP003,PART001,PLANT001,100,2026-03-22,2026-04-15,2026-04-11
PO00026,SUP006,PART001,PLANT001,100,2026-05-09,2026-05-25,2026-05-24
PO00027,SUP010,PART010,PLANT002,5000,2026-05-03,2026-05-17,2026-05-25
PO00028,SUP005,PART012,PLANT002,1000,2026-05-24,2026-06-07,2026-06-04
PO00029,SUP006,PART002,PLANT001,1000,2026-05-28,2026-06-22,2026-06-19
PO00030,SUP010,PART005,PLANT003,1000,2026-05-28,2026-06-26,2026-06-21
PO00031,SUP001,PART003,PLANT004,100,2026-01-11,2026-02-05,2026-02-07
PO00032,SUP007,PART013,PLANT002,500,2026-04-09,2026-04-29,2026-04-25
PO00033,SUP009,PART015,PLANT004,100,2026-01-02,2026-01-16,2026-01-14
PO00034,SUP005,PART011,PLANT004,1000,2026-01-09,2026-01-31,2026-01-28
PO00035,SUP004,PART015,PLANT002,100,2026-04-26,2026-05-20,
PO00036,SUP004,PART015,PLANT004,5000,2026-04-22,2026-05-19,
PO00037,SUP009,PART002,PLANT002,500,2026-02-23,2026-03-11,2026-03-06
PO00038,SUP004,PART002,PLANT004,100,2026-05-22,2026-06-09,2026-06-06
PO00039,SUP001,PART001,PLANT004,5000,2026-04-25,2026-05-14,2026-05-14
PO00040,SUP006,PART002,PLANT001,1000,2026-01-08,2026-02-01,2026-01-31
